"Project name","connect"
"Date range","11/18/2024 12:00 AM - 02/15/2025 11:59 PM"


"Metric","Sessions"
"","Total sessions","9478"
"","Bot sessions","205"

"Metric","Pages per session"
"","Average","1.3553492297953154"

"Metric","Scroll depth"
"","Average","15.29"

"Metric","Active time spent"
"","Active time","17"
"","Total time","38"

"Metric","Users overview"
"","Unique users","1823"
"","Sessions with new users","2172"
"","Sessions with returning users","7306"

"Metric","All users"
"","User id","No. of sessions","Country","Device"
"","1jgstgp","242","Egypt","Mobile"
"","1a73oyp","232","Egypt","Mobile"
"","1x4zjhr","194","Egypt","Mobile"
"","p1nnun","180","Egypt","Mobile"
"","1x1cjg3","149","Egypt","Mobile"
"","1y870ce","119","Libya","Mobile"
"","14jwbpb","118","Egypt","Mobile"
"","1a33k1i","108","Egypt","Mobile"
"","wa9grc","107","Egypt","PC"
"","61m79x","92","Egypt","Mobile"
"","h8zsyn","90","Egypt","Mobile"
"","1mk6viu","87","Egypt","Mobile"
"","1k72qgb","82","Egypt","PC"
"","ub7emd","81","Egypt","PC"
"","tm16cj","80","Egypt","Mobile"

"Metric","Insights","No. of sessions","% of sessions"
"","Rage clicks","1","0.01%"
"","Dead click","164","1.73%"
"","Excessive scrolling","0","0%"
"","Quick back click","1483","15.65%"

"Metric","Browsers","No. of sessions","% of sessions"
"","ChromeMobile","5685","59.98%"
"","Chrome","2735","28.86%"
"","Firefox","332","3.50%"
"","Edge","185","1.95%"
"","Opera","149","1.57%"
"","Unknown","124","1.31%"
"","SamsungInternet","119","1.26%"
"","MobileSafari","55","0.58%"
"","MiuiBrowser","38","0.40%"
"","FirefoxMobile","28","0.30%"
"","EdgeMobile","12","0.13%"
"","UCBrowser","9","0.09%"
"","YandexBrowser","7","0.07%"

"Metric","Devices","No. of sessions","% of sessions"
"","Mobile","6275","66.20%"
"","PC","3177","33.52%"
"","Tablet","27","0.28%"

"Metric","Top pages","No. of sessions"
"","https://connect4ar.com/","9210"
"","https://connect4ar.com/system/1","539"
"","https://connect4ar.com/register/1","48"
"","https://connect4ar.com/register/2","29"
"","http://connect_network.test/","9"
"","http://connectkharax6.test/","9"
"","https://connect4ar.com/register/4","8"
"","http://connectkharax7.test/","7"
"","https://connect4ar.com/system/2","7"
"","http://161.97.150.237/","5"
"","http://192.168.16.41/","4"
"","https://connect4ar.com/register/3","4"

"Metric","Countries","No. of sessions","% of sessions"
"","Egypt","8922","94.13%"
"","Libya","227","2.40%"
"","United States","64","0.68%"
"","Saudi Arabia","39","0.41%"
"","Turkey","38","0.40%"
"","United Arab Emirates","37","0.39%"
"","Germany","24","0.25%"
"","Bulgaria","21","0.22%"
"","France","18","0.19%"
"","Palestinian Authority","12","0.13%"
"","Yemen","12","0.13%"
"","South Sudan","11","0.12%"
"","Russia","9","0.09%"
"","Sudan","7","0.07%"
"","Netherlands","5","0.05%"
"","Kazakhstan","4","0.04%"
"","Iraq","3","0.03%"
"","Jordan","2","0.02%"
"","Malawi","2","0.02%"
"","Sweden","2","0.02%"
"","United Kingdom","2","0.02%"
"","Georgia","2","0.02%"
"","Greece","2","0.02%"
"","Ireland","1","0.01%"
"","Italy","1","0.01%"
"","Kuwait","1","0.01%"
"","Morocco","1","0.01%"
"","Norway","1","0.01%"
"","Spain","1","0.01%"
"","Switzerland","1","0.01%"
"","Syria","1","0.01%"
"","Tunisia","1","0.01%"
"","Algeria","1","0.01%"
"","China","1","0.01%"
"","Cyprus","1","0.01%"
"","Finland","1","0.01%"

"Metric","Operating systems","No. of sessions","% of sessions"
"","Android","6135","64.72%"
"","Windows","2592","27.34%"
"","Linux","558","5.89%"
"","iOS","167","1.76%"
"","MacOS","21","0.22%"
"","Ubuntu","6","0.06%"

"Metric","Smart events","No. of sessions","% of sessions"
"","Login","79","0.83%"
"","Submit form","57","0.60%"
"","Subscribe","7","0.07%"

"Metric","Referrer","No. of sessions"
"","www.google.com","4422"
"","connect4ar.com","762"
"","cafe.connect4ar.com","115"
"","www.bing.com","90"
"","www.google.com.eg","62"
"","www.youtube.com","52"
"","lm.facebook.com","48"
"","m.facebook.com","48"
"","search.yahoo.com","16"
"","l.facebook.com","12"
"","yandex.ru","12"
"","www.facebook.com","8"

"Metric","Channel","No. of sessions"
"","OrganicSearch","4606"
"","Other","4567"
"","Direct","763"
"","Referral","290"

"Metric","Campaign","No. of sessions"

"Metric","Source","No. of sessions"
"","google","4486"
"","connect4ar.com","762"
"","cafe.connect4ar.com","115"
"","bing","90"
"","www.youtube.com","52"
"","lm.facebook.com","48"
"","m.facebook.com","48"
"","yahoo","16"
"","l.facebook.com","12"
"","yandex","12"
"","www.facebook.com","8"
"","internet-start.net","6"

"Metric","JavaScript errors"
"","Sessions with JavaScript errors"
""," total JavaScript errors","279"
"","","No. of sessions","% of sessions"
"","script error.","185","66.31%"
"","cannot read properties of null (reading 'match')","89","31.90%"
"","method is null","2","0.72%"
"","can't find variable: gmo","1","0.36%"
"","cannot read property 'match' of null","1","0.36%"

"Metric","Performance overview"
"","Score","80.20544122776421"
"","LCP (Largest Contentful Paint)","3.427s"
"","INP (Interaction to Next Paint)","280ms"
"","CLS (Cumulative Layout Shift)","0.056s"

"Metric","URL performance"
"","URL","Score","LCP (Largest Contentful Paint)","INP (Interaction to Next Paint)","CLS (Cumulative Layout Shift)"
"","https://connect4ar.com/register/6","91","0.84","160","0"
"","https://connect4ar.com/system/1","86.00751879699249","1.61","192","0.097"
"","https://connect4ar.com/register/2","81.88888888888889","1.484","208","0.194"
"","https://connect4ar.com/register/1","79.375","2.628","280","0.208"
"","https://connect4ar.com/","78.6636891469406","3.611","288","0.038"
"","https://connect4ar.com/system/2","78.5","4.381","224","0.105"
"","https://connect4ar.com/register/3","76","6.361","584","0.105"
"","https://connect4ar.com/register/4","69.8","3.238","200","0.286"

"Metric","User intent","No. of sessions","% of sessions"
"","Low Intention","5158","54.42%"
"","Medium Intention","4202","44.33%"
"","High Intention","118","1.24%"

"Metric","Top entry pages","No. of sessions"
"","https://connect4ar.com/","9183"
"","https://connect4ar.com/system/1","236"
"","http://connect_network.test/","9"
"","http://connectkharax6.test/","9"
"","http://connectkharax7.test/","7"
"","https://connect4ar.com/register/2","7"
"","https://connect4ar.com/system/2","6"
"","http://161.97.150.237/","5"
"","http://192.168.16.41/","4"
"","https://connect4ar.com/register/3","3"
"","http://localhost/","2"
"","https://connect4ar.com/register/4","2"

"Metric","Top exit pages","No. of sessions"
"","https://connect4ar.com/","8983"
"","https://connect4ar.com/system/1","381"
"","https://connect4ar.com/register/1","36"
"","https://connect4ar.com/register/2","19"
"","http://connect_network.test/","9"
"","http://connectkharax6.test/","9"
"","http://connectkharax7.test/","7"
"","https://connect4ar.com/system/2","7"
"","http://161.97.150.237/","5"
"","https://connect4ar.com/register/4","5"
"","http://192.168.16.41/","4"
"","https://connect4ar.com/register/3","3"
